Script Path,Class Name,Prefab or Scene Usage Count,Referenced By Prefabs or Scenes
"Assets/Scripts/PlayerPelotonDirectionalPush.cs","PlayerPelotonDirectionalPush",9,"Assets/Prefabs/Player Racer Prefab.prefab | Assets/Prefabs/RaceSystems.prefab | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/builtFromTemplate001/Player Racer Prefab.prefab | Assets/Scenes/builtFromTemplate001/RaceSystems.prefab | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain02 single Sprite.unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/RaceDirector.cs","RaceDirector",9,"Assets/_Recovery/0.unity | Assets/Prefabs/RaceSystems.prefab | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/builtFromTemplate001/RaceSystems.prefab | Assets/Scenes/Spline07 (AI Race).unity | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain02 single Sprite.unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/RaceHUD.cs","RaceHUD",12,"Assets/_Recovery/0.unity | Assets/Prefabs/Race HUD Canvas Prefab.prefab | Assets/Prefabs/RaceSystems.prefab | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/builtFromTemplate001/Race HUD Canvas Prefab.prefab | Assets/Scenes/builtFromTemplate001/RaceSystems.prefab | Assets/Scenes/Spline06 (easyRoadsLapCount).unity | Assets/Scenes/Spline07 (AI Race).unity | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain02 single Sprite.unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/RaceManager.cs","RaceManager",10,"Assets/_Recovery/0.unity | Assets/Prefabs/RaceSystems.prefab | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/builtFromTemplate001/RaceSystems.prefab | Assets/Scenes/Spline06 (easyRoadsLapCount).unity | Assets/Scenes/Spline07 (AI Race).unity | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain02 single Sprite.unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/RacerAwareness.cs","RacerAwareness",13,"Assets/_Recovery/0.unity | Assets/Prefabs/NPC Racer Prefab.prefab | Assets/Prefabs/Player Racer Prefab.prefab | Assets/Prefabs/RaceSystems.prefab | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/builtFromTemplate001/NPC Racer Prefab.prefab | Assets/Scenes/builtFromTemplate001/Player Racer Prefab.prefab | Assets/Scenes/builtFromTemplate001/RaceSystems.prefab | Assets/Scenes/Spline07 (AI Race).unity | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain02 single Sprite.unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/RacerEnergy.cs","RacerEnergy",13,"Assets/_Recovery/0.unity | Assets/Prefabs/NPC Racer Prefab.prefab | Assets/Prefabs/Player Racer Prefab.prefab | Assets/Prefabs/RaceSystems.prefab | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/builtFromTemplate001/NPC Racer Prefab.prefab | Assets/Scenes/builtFromTemplate001/Player Racer Prefab.prefab | Assets/Scenes/builtFromTemplate001/RaceSystems.prefab | Assets/Scenes/Spline07 (AI Race).unity | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain02 single Sprite.unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/RacerMotor.cs","RacerMotor",16,"Assets/_Recovery/0.unity | Assets/Prefabs/NPC Racer Prefab.prefab | Assets/Prefabs/Player Racer Prefab.prefab | Assets/Prefabs/RaceSystems.prefab | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/builtFromTemplate001/NPC Racer Prefab.prefab | Assets/Scenes/builtFromTemplate001/Player Racer Prefab.prefab | Assets/Scenes/builtFromTemplate001/RaceSystems.prefab | Assets/Scenes/Spline04 (easyRoads).unity | Assets/Scenes/Spline05 (easyRoadsSpline).unity | Assets/Scenes/Spline06 (easyRoadsLapCount).unity | Assets/Scenes/Spline07 (AI Race).unity | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain02 single Sprite.unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/RacerPower.cs","RacerPower",10,"Assets/_Recovery/0.unity | Assets/Prefabs/NPC Racer Prefab.prefab | Assets/Prefabs/RaceSystems.prefab | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/builtFromTemplate001/NPC Racer Prefab.prefab | Assets/Scenes/builtFromTemplate001/RaceSystems.prefab | Assets/Scenes/Spline07 (AI Race).unity | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/RacerProgress.cs","RacerProgress",14,"Assets/_Recovery/0.unity | Assets/Prefabs/NPC Racer Prefab.prefab | Assets/Prefabs/Player Racer Prefab.prefab | Assets/Prefabs/RaceSystems.prefab | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/builtFromTemplate001/NPC Racer Prefab.prefab | Assets/Scenes/builtFromTemplate001/Player Racer Prefab.prefab | Assets/Scenes/builtFromTemplate001/RaceSystems.prefab | Assets/Scenes/Spline06 (easyRoadsLapCount).unity | Assets/Scenes/Spline07 (AI Race).unity | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain02 single Sprite.unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/RacerRegistry.cs","RacerRegistry",0,""
"Assets/Scripts/RaceTacticsManager.cs","RaceTacticsManager",6,"Assets/Prefabs/RaceSystems.prefab | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/builtFromTemplate001/RaceSystems.prefab | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/TrackData.cs","TrackData",4,"Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/Terrain02 single Sprite.unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/TrackDataBaker.cs","TrackDataBaker",4,"Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/Terrain02 single Sprite.unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/TrackPath.cs","TrackPath",10,"Assets/_Recovery/0.unity | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/Spline04 (easyRoads).unity | Assets/Scenes/Spline05 (easyRoadsSpline).unity | Assets/Scenes/Spline06 (easyRoadsLapCount).unity | Assets/Scenes/Spline07 (AI Race).unity | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain02 single Sprite.unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/Benchmark01.cs","Benchmark01",0,""
"Assets/TextMesh Pro/Examples & Extras/Scripts/Benchmark01_UGUI.cs","Benchmark01_UGUI",0,""
"Assets/TextMesh Pro/Examples & Extras/Scripts/Benchmark02.cs","Benchmark02",1,"Assets/TextMesh Pro/Examples & Extras/Scenes/Benchmark (Floating Text).unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/Benchmark03.cs","Benchmark03",0,""
"Assets/TextMesh Pro/Examples & Extras/Scripts/Benchmark04.cs","Benchmark04",0,""
"Assets/TextMesh Pro/Examples & Extras/Scripts/CameraController.cs","CameraController",3,"Assets/TextMesh Pro/Examples & Extras/Scenes/24 - Surface Shader Example URP.unity | Assets/TextMesh Pro/Examples & Extras/Scenes/24 - Surface Shader Example.unity | Assets/TextMesh Pro/Examples & Extras/Scenes/Benchmark (Floating Text).unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/ChatController.cs","ChatController",1,"Assets/TextMesh Pro/Examples & Extras/Scenes/20 - Input Field with Scrollbar.unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/DropdownSample.cs","DropdownSample",1,"Assets/TextMesh Pro/Examples & Extras/Scenes/26 - Dropdown Placeholder Example.unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/EnvMapAnimator.cs","EnvMapAnimator",0,""
"Assets/TextMesh Pro/Examples & Extras/Scripts/ObjectSpin.cs","ObjectSpin",3,"Assets/TextMesh Pro/Examples & Extras/Scenes/24 - Surface Shader Example URP.unity | Assets/TextMesh Pro/Examples & Extras/Scenes/24 - Surface Shader Example.unity | Assets/TextMesh Pro/Examples & Extras/Scenes/28 - HDRP Shader Example.unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/ShaderPropAnimator.cs","ShaderPropAnimator",0,""
"Assets/TextMesh Pro/Examples & Extras/Scripts/SimpleScript.cs","SimpleScript",1,"Assets/TextMesh Pro/Examples & Extras/Scenes/21 - Script Example.unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/SkewTextExample.cs","SkewTextExample",0,""
"Assets/TextMesh Pro/Examples & Extras/Scripts/TeleType.cs","TeleType",1,"Assets/TextMesh Pro/Examples & Extras/Scenes/15 - Inline Graphics & Sprites.unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/TextConsoleSimulator.cs","TextConsoleSimulator",1,"Assets/TextMesh Pro/Examples & Extras/Scenes/17 - Old Computer Terminal.unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/TextMeshProFloatingText.cs","TextMeshProFloatingText",0,""
"Assets/TextMesh Pro/Examples & Extras/Scripts/TextMeshSpawner.cs","TextMeshSpawner",0,""
